COUNTRY,Counts,dist_to_country_min,dist_to_country_max,dist_spread,variance,avg_pairwise,maxmin_pairwise,std_pairwise,median_pairwise,trans_avg_pairwise,trans_maxmin_pairwise,trans_quantile_pairwise,trans_std_pairwise,trans_median_pairwise,top5_cum_variance,num_cluster,cluster_ratio
USA,446783,0.0,0.8622969432535822,0.8622969432535822,56.26445396258537,0.042540278320147076,1.0,0.03145425230389204,0.03661274911917045,0.30230663579247163,11.252064620994183,1.734037774294411,0.5345484786932613,0.30235607082733273,0.6766732019847178,6.0,2.4202427420263684
Canada,44437,0.0,0.8347553608742825,0.8347553608742825,56.64358082338872,0.042595596392037395,1.0,0.02955603495718999,0.0369108081306867,0.3031163389051068,11.277141703996246,1.704609856701087,0.5236888569319313,0.30309910957570413,0.6763172416700195,6.0,2.399759710273832
UK,31650,0.0,0.796869848377662,0.796869848377662,58.97282732488241,0.04526289043037598,1.0,0.03340681012820882,0.03879583195947023,0.30798033924001833,11.31055383503019,1.7341810193375675,0.5350582742415719,0.30774510218875556,0.685211964237654,5.0,2.3062911787131832
Australia,25610,0.0,0.787513414867292,0.787513414867292,56.165208328712716,0.04234031556158045,1.0,0.032988427930914374,0.03608509931530601,0.30126559975195544,13.151862003477339,1.7579171060781276,0.5430424544146956,0.3010347836015707,0.6867701716073851,6.0,2.485464091216668
Indonesia,20774,0.0,0.8308156641739839,0.8308156641739839,39.7773096119126,0.030538624876159496,1.0,0.028380564560596004,0.02513321192157547,0.27164190435345187,11.319641939984654,1.9449418298910905,0.5993600555392831,0.271476128906604,0.6907626020877504,8.0,2.9384635794858367
Vietnam,19548,0.0,0.8187104330110639,0.8187104330110639,68.95401531967717,0.06546643591444404,0.9999832932361207,0.13439872201204622,0.030300074016847645,0.29497493774631617,10.999696897826984,3.7659504768253003,0.9269816965410078,0.28599168754592874,0.7885174387947842,4.0,1.9910002577144503
India,15008,0.0,0.8343500832382004,0.8343500832382004,53.6702460783421,0.03737902324106489,1.0,0.03651706325577939,0.03066485037842981,0.2878679402840186,11.150377087891632,1.859243508930871,0.5779500191108041,0.2869738430171388,0.6986034547650467,7.0,2.6994881101470662
Philippines,14297,0.0,0.8289552486550429,0.8289552486550429,44.290499805284796,0.03205034826532359,1.0,0.027852396993476348,0.02692212641653613,0.27663371122249136,11.341964042007273,1.8505620844075232,0.5709652459187717,0.2766399596098817,0.689155548960549,7.0,2.702970370589442
Brazil,13210,0.0,0.9084046937937132,0.9084046937937132,78.35099393938276,0.05924758471411542,1.0,0.128770520898658,0.027040898355463305,0.2817665854018275,12.74601994102756,2.946577723576287,1.018847995482538,0.27697750975529406,0.8369720746065598,4.0,2.056148227594948
Singapore,8451,0.0,0.22530943222435384,0.22530943222435384,47.889790322933905,0.03708623117401801,0.41199661584594194,0.021021609306304652,0.03223711961236597,0.29089925011010126,10.53972498679532,1.7680962626778753,0.5379072658223859,0.29115160792708705,0.6766740563559196,6.0,2.533590278316254
Germany,7590,0.0,0.839023451769916,0.839023451769916,57.58302803204747,0.04385111349228172,0.9999870583734078,0.03825431352305937,0.037316259510546734,0.30436646309784177,11.255061574151899,1.7203330894820636,0.5353065086895178,0.3041060888709288,0.6842560722552518,5.0,2.3769853652370787
Norway,7492,0.0,0.84758990913932,0.84758990913932,56.027341071379176,0.04181182511798873,0.956421201842505,0.026683644237477995,0.0365285739479102,0.30220487550236624,11.163321795425569,1.6762727194341118,0.5122061639771497,0.30214579622847976,0.6694236938625904,5.0,2.3534970025104722
Netherlands,5976,0.0022380471010894354,0.7923387137682868,0.7901006666671974,48.35428533663842,0.037555949534549694,0.999886051385472,0.02829986144189681,0.032245222309930655,0.29106521861028545,9.079762960942732,1.7651342958231226,0.5423891941933519,0.29117291329261,0.6685967103575747,7.0,2.679310636910937
China,5378,0.0,0.833896311552822,0.833896311552822,45.10907071780761,0.03319395435327492,1.0,0.03885756591671838,0.02682908764391606,0.27718345359096297,10.579151118957762,1.8597874991173562,0.5847663864770124,0.2763752811448065,0.6972319503400829,4.0,2.1355400432453138
New Zealand,4711,0.0,0.863502055780057,0.863502055780057,105.48704159165936,0.11174864983693009,1.0,0.20530661229370376,0.03948351631002789,0.3339054779843117,14.753093591563177,3.7998422990768566,1.0420176585777363,0.3094200010510876,0.8139181554264446,4.0,2.010541454983647
Ireland,4672,0.0,0.6269750153431897,0.6269750153431897,57.56715015734644,0.0429386101614239,0.7867349466016775,0.027383806645265484,0.03705416437930231,0.30317689833079353,7.304393179654447,1.7883478052975605,0.5462012252200961,0.3034556435038907,0.6957685232401498,7.0,2.6941888283971207
Sweden,4628,0.0,0.39647828714517597,0.39647828714517597,57.71915851658409,0.044233792647095316,0.6152483794630204,0.02519729516797899,0.03864888683249301,0.30724381408368345,9.398484180540894,1.7141722759764888,0.5224483674747445,0.3073861222115287,0.6759122818603287,5.0,2.3419243619446513
France,3876,0.0,0.7755693790822442,0.7755693790822442,56.94527358173773,0.042608200879261864,0.9154480077609707,0.02835613300536798,0.037198858690546066,0.3036392003243765,10.486932334361885,1.6898056770979517,0.5173520506008872,0.30381495592464736,0.6719110032243191,6.0,2.588574601220698
