index,0,1,2,3,4,5,6,7
A1_Trust,31.0,35.0,39.0,31.0,27.0,37.0,33.0,30.0
A2_Morality,34.0,35.0,41.0,41.0,35.0,42.0,39.0,41.0
A3_Altruism,39.0,40.0,45.0,40.0,36.0,43.0,40.0,38.0
A4_Cooperation,31.0,33.0,38.0,37.0,32.0,39.0,35.0,37.0
A5_Modesty,30.0,28.0,28.0,37.0,36.0,32.0,32.0,34.0
A6_Sympathy,35.0,33.0,38.0,37.0,36.0,37.0,35.0,32.0
C1_Self-Efficacy,36.0,40.0,45.0,37.0,30.0,42.0,39.0,41.0
C2_Orderliness,30.0,31.0,37.0,35.0,28.0,38.0,36.0,40.0
C3_Dutifulness,36.0,39.0,45.0,42.0,36.0,45.0,42.0,44.0
C4_Achievement-Striving,35.0,38.0,44.0,37.0,30.0,42.0,39.0,41.0
C5_Self-Discipline,26.0,31.0,39.0,29.0,21.0,37.0,33.0,37.0
C6_Cautiousness,26.0,28.0,36.0,37.0,27.0,39.0,34.0,40.0
E1_Friendliness,36.0,39.0,43.0,28.0,26.0,37.0,35.0,28.0
E2_Gregariousness,33.0,37.0,37.0,21.0,22.0,29.0,30.0,21.0
E3_Assertiveness,35.0,38.0,41.0,27.0,26.0,34.0,34.0,30.0
E4_Activity Level,30.0,31.0,34.0,28.0,25.0,31.0,31.0,31.0
E5_Excitement-Seeking,38.0,39.0,35.0,26.0,31.0,29.0,31.0,24.0
E6_Cheerfulness,39.0,42.0,44.0,34.0,32.0,40.0,38.0,33.0
N1_Anxiety,34.0,26.0,23.0,37.0,39.0,26.0,32.0,30.0
N2_Anger,34.0,25.0,20.0,30.0,37.0,22.0,30.0,26.0
N3_Depression,31.0,21.0,16.0,33.0,41.0,19.0,26.0,24.0
N4_Self-Consciousness,30.0,24.0,21.0,37.0,39.0,27.0,31.0,33.0
N5_Immoderation,37.0,33.0,27.0,32.0,38.0,27.0,32.0,28.0
N6_Vulnerability,30.0,22.0,18.0,31.0,36.0,21.0,27.0,24.0
O1_Imagination,42.0,39.0,40.0,40.0,42.0,37.0,37.0,34.0
O2_Artistic Interests,42.0,40.0,45.0,40.0,40.0,41.0,39.0,36.0
O3_Emotionality,40.0,36.0,39.0,38.0,40.0,36.0,37.0,33.0
O4_Adventurousness,35.0,37.0,40.0,31.0,30.0,35.0,33.0,29.0
O5_Intellect,38.0,38.0,43.0,39.0,36.0,40.0,35.0,37.0
O6_Liberalism,31.0,29.0,29.0,32.0,34.0,28.0,28.0,26.0
